Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Field Label Only Not Used in Data Dictionary,Field 1
preg_test,crf_1_eligibility_consent_recruitment,,radio,[1.12] Is the person willing to have a pregnancy test in order to determine eligibility for some additional tests? ,"1, No, is male | 2, No, is female, and says they are post-menopausal | 3, No, since they already know they are pregnant | 4, Yes, will agree to test {preg_result} | 5, No, will not agree to test",,,,,,[cohort]>2 AND [sex]='2' AND ([consent_basic]=1 or [consent_basic]='2'),y,,[1.12],,,"@p1000lang{""English"":""[1.12] Is the person willing to have a pregnancy test in order to determine eligibility for some additional tests? "",""Swahili"":""[1.12] Je mlengwa yuko tayari kufanyiwa vipimo vya ujauzito ili kubaini ustahiki wa baadhi ya vipimo vya ziada?"",""Cebuano"":""[1.12] Ang partisipante ba gusto nga magpa-pregnancy test para mahibaw-an kon kinahanglan pa ang dugang nga tests?"",""Hiligaynon"":""[1.12] ang partisipante bala luyag nga mag pa pregnancy test para mabal an kon kinahanglan pa gid and dugang nga tests?)""} @p1000answers{""English"":{""1"":""No, is male"",""2"":""No, is female, and says they are post-menopausal"",""3"":""No, since they already know they are pregnant"",""5"":""No, will not agree to test""},""Swahili"":{""1"":""Hapana, ni mwanamke, zaidi ya miaka 50 na amesema ameshakoma hedhi."",""2"":""Hapana, tayari anajua ni wajawazito"",""3"":""Ndio, nitakubali kupima, na imeonekana hana mimba."",""5"":""Hapana, sitakubali kupima""},""Cebuano"":{""1"":""No, is male"",""2"":""Dili, usa ka babaye ug ningsulti nga nag-menopause na"",""3"":""Dili, kay kahibalo na siya nga siya mabdos"",""5"":""Dili mosugot sa pagpa test""},""Hiligaynon"":{""1"":""No, is male"",""2"":""Indi, isa ka babayi kag naghambal nga post menopausal"",""3"":""Indi, kay kabalo na siya nga siya nagabusong"",""5"":""Indi magsugot sa pagpa test""}} @HIDECHOICE=""1""      @NOMISSING",Is the person willing to have a pregnancy test in order to determine eligibility for some additional tests? ,1.12
preg_result,crf_1_eligibility_consent_recruitment,,radio,Pregnancy Test Results,"1, has documented negative pregnancy test performed by SAMPA | 2, has documented positive pregnancy test performed by SAMPA ",,,,,,[preg_test]='4',y,,,,,"@p1000answers{""English"":{""1"":""has documented negative pregnancy test performed by SAMPA"",""2"":""has documented positive pregnancy test performed by SAMPA""},""Swahili"":{""1"":""Ndio, nitakubali kupima, na imeonekana hana mimba."",""2"":""Kipimo cha  ujauzito kilichopimwa na SAMPA kimeonyesha ana ujauzito""},""Cebuano"":{""1"":""has documented negative pregnancy test performed by SAMPA"",""2"":""has documented positive pregnancy test performed by SAMPA""},""Hiligaynon"":{""1"":""has documented negative pregnancy test performed by SAMPA"",""2"":""has documented positive pregnancy test performed by SAMPA""}}",Pregnancy Test Results,
desc_preg_test,crf_1_eligibility_consent_recruitment,,descriptive,"<div class=""red"" style=""text-align: left;"">Women MUST have negative pregnancy test results or at their post menauposal stage to be part of the indepth sample. </div>",,,,,,,([cohort]='3' or [cohort]='5') and [sex]='2' and ([consent_basic]=1 or [consent_basic]='2'),,,,,,,"<div class=""red"" style=""text-align: left;"">Women MUST have negative pregnancy test results or at their post menauposal stage to be part of the indepth sample. </div>",
flag_preg,crf_1_eligibility_consent_recruitment,,calc,Flag Pregnancy Results,"if(
[cohort]>2 and ([consent_basic]=1 or [consent_basic]='2') and [sex]='2' and [preg_test]='4' and [preg_result]='2','1',
if(
[cohort]>2 and ([consent_basic]=1 or [consent_basic]='2') and [sex]='2' and [preg_test]='5','3',
if(
[cohort]>2 and ([consent_basic]=1 or [consent_basic]='2') and [sex]='2' and [preg_test]='3','1',
if(
[cohort]>2 and ([consent_basic]=1 or [consent_basic]='2') and [sex]='2' and [preg_test]='4' and [preg_result]='1','2',
if(
[cohort]>2 and ([consent_basic]=1 or [consent_basic]='2') and [sex]='2' and [preg_test]='2','2',
if(
[cohort]>2 and ([consent_basic]=1 or [consent_basic]='2') and [sex]='1','2',
if(
([cohort]='1' or [cohort]='2') and [consent_basic]='2' and [assent]='1','4','0'
)))))))",,,,,,,,,,,,@HIDDEN,Flag Pregnancy Results,
desc_indepth_consent,crf_1_eligibility_consent_recruitment,,descriptive,"<div class=""red"" style=""text-align: left;"">To be part of the indepth sample, participants should consent to Standard OGTT </div>",,,,,,,[indepth_sample]='1' and [consent_basic]='2',,,,,,,"<div class=""red"" style=""text-align: left;"">To be part of the indepth sample, participants should consent to Standard OGTT </div>",
indepth_sample,crf_1_eligibility_consent_recruitment,,radio,Are they in the indepth subsample? ,"0, No | 1, Yes",,,,,,([cohort]='3' or [cohort]='5') and [flag_preg]='2',,,,,,"@p1000lang{""English"":""Are they in the indepth subsample? "",""Swahili"":""Je yupo kwenye kundi la utafiti wa kina?"",""Cebuano"":""Are they in the indepth subsample? "",""Hiligaynon"":""Are they in the indepth subsample? ""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Are they in the indepth subsample? ,
indepth_exp,crf_1_eligibility_consent_recruitment,,radio,"If so, have they had the extra volume of blood taken  explained to them do they consent to?","0, No | 1, Yes",,,,,,[indepth_sample]='1',,,,,,"@p1000lang{""English"":""If so, have they had the extra volume of blood taken explained to them do they consent to?"",""Swahili"":""Ikiwa ndivyo, je amechukuliwa kiasi cha ziada cha damu walichoelezewa na je wameridhia?"",""Cebuano"":""If so, have they had the extra volume of blood taken  explained to them do they consent to?"",""Hiligaynon"":""If so, have they had the extra volume of blood taken  explained to them do they consent to?""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}} @HIDECHOICE=""2""","If so, have they had the extra volume of blood taken  explained to them do they consent to?",
flag_group,crf_1_eligibility_consent_recruitment,,calc,Sample Group,"if (([flag_preg]='1' or [flag_preg]='3') and [consent_basic]='1', 1, 
if(([flag_preg]='1' or [flag_preg]='3') and [consent_basic]='2', 2,
if([flag_preg]='2' and [consent_basic]='1' and [indepth_sample]='1', 3,
if([flag_preg]='2' and [consent_basic]='1' and [indepth_sample]='0', 1,
if([flag_preg]='2' and [consent_basic]='1' and [indepth_sample]='', 1,
if([flag_preg]='2' and [consent_basic]='2' and [indepth_sample]='1', 2,
if([flag_preg]='2' and [consent_basic]='2' and [indepth_sample]='0', 2,
if([flag_preg]='2' and [consent_basic]='2' and [indepth_sample]='', 2,
if([cohort]='1' and [consent_basic]='2' and [assent]='1',2,
if([cohort]='2' and [consent_basic]='2' and [assent]='1',2,
4))))))))))",,,,,,,,,,,,,Sample Group,
mri_sample,crf_1_eligibility_consent_recruitment,,radio,Are they in the MRI subsample? ,"0, No | 1, Yes",,,,,,([flag_preg]='2' AND [flag_insulin]='0') or ([flag_preg]='4' AND [flag_insulin]='0'),,,,,,@HIDDEN,Are they in the MRI subsample? ,
mri,crf_1_eligibility_consent_recruitment,,radio,"If so, have they had the MRI test explained to them do they consent to MRI?","0, No | 1, Yes | 2, Not randomized to MRI",,,,,,[mri_sample]='1',,,,,,"@HIDDEN @HIDECHOICE=""2"" ","If so, have they had the MRI test explained to them do they consent to MRI?",
ct_sample,crf_1_eligibility_consent_recruitment,,radio,Are they in the CT scan subsample? ,"0, No | 1, Yes",,,,,,([flag_preg]='2' AND [flag_insulin]='0') or ([flag_preg]='4' AND [flag_insulin]='0') and [cohort]>'2',,,,,,,Are they in the CT scan subsample? ,
ct,crf_1_eligibility_consent_recruitment,,radio,"If so, have they had the CT scan test explained to them do they consent to CT Scan?","0, No | 1, Yes | 2, Not randomized to CT scan",,,,,,[ct_sample]='1',,,,,,"@HIDECHOICE=""2"" ","If so, have they had the CT scan test explained to them do they consent to CT Scan?",
xray_sample,crf_1_eligibility_consent_recruitment,,radio,Are they in the X-ray subsample? ,"0, No | 1, Yes",,,,,,([flag_preg]='2' AND [flag_insulin]='0') or ([flag_preg]='4' AND [flag_insulin]='0'),,,,,,@HIDDEN,Are they in the X-ray subsample? ,
xray,crf_1_eligibility_consent_recruitment,,radio,"If so, have they had the X-ray test explained to them do they consent to X-ray?","0, No | 1, Yes | 2, Not randomized to X-ray",,,,,,[xray_sample]='1',,,,,,"@HIDDEN @HIDECHOICE=""2"" ","If so, have they had the X-ray test explained to them do they consent to X-ray?",
ivgtt_sample,crf_1_eligibility_consent_recruitment,,radio,Are they in the in-depth subsample? ,"0, No | 1, Yes",,,,,,([flag_preg]='2' AND [flag_insulin]='0') or ([flag_preg]='4' AND [flag_insulin]='0'),,,,,,@HIDDEN,Are they in the in-depth subsample? ,
ivgtt,crf_1_eligibility_consent_recruitment,,radio,"If so, have they had the larger OGTT and the IVGTT tests explained to them do they consent to these? ","0, No | 1, Yes | 2, Not randomized to ivgtt",,,,,,[ivgtt_sample]='1',,,,,,"@HIDDEN @HIDECHOICE=""2"" ","If so, have they had the larger OGTT and the IVGTT tests explained to them do they consent to these? ",
uss_sample,crf_1_eligibility_consent_recruitment,,radio,Are they in the Ultrasound subsample? ,"0, No | 1, Yes",,,,,,([flag_preg]='2' AND [flag_insulin]='0') or ([flag_preg]='4' AND [flag_insulin]='0'),,,,,,"@p1000lang{""English"":""Are they in the Ultrasound subsample? "",""Swahili"":""Je wako kwenye kikundi cha kushiriki ultrasound?"",""Cebuano"":""Are they in the Ultrasound subsample? "",""Hiligaynon"":""Are they in the Ultrasound subsample? ""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio""},""Cebuano"":{""0"":""No"",""1"":""Yes""},""Hiligaynon"":{""0"":""No"",""1"":""Yes""}}",Are they in the Ultrasound subsample? ,
uss,crf_1_eligibility_consent_recruitment,,radio,"If so, have they had the Ultrasound test explained to them do they consent to Ultrasound?","0, No | 1, Yes | 2, Not randomized to Ultrasound",,,,,,[uss_sample]='1',,,,,,"@p1000lang{""English"":""If so, have they had the Ultrasound test explained to them do they consent to Ultrasound?"",""Swahili"":""Ikiwa ndivyo, je wamefafanuliwa kipimo cha ultrasound , na je wameridhia kipimo cha ultrasound?"",""Cebuano"":""If so, have they had the Ultrasound test explained to them do they consent to Ultrasound?"",""Hiligaynon"":""If so, have they had the Ultrasound test explained to them do they consent to Ultrasound?""} @p1000answers{""English"":{""0"":""No"",""1"":""Yes"",""2"":""Not randomized to Ultrasound""},""Swahili"":{""0"":""Hapana"",""1"":""Ndio"",""2"":""Not randomized to Ultrasound""},""Cebuano"":{""0"":""No"",""1"":""Yes"",""2"":""Not randomized to Ultrasound""},""Hiligaynon"":{""0"":""No"",""1"":""Yes"",""2"":""Not randomized to Ultrasound""}} @HIDECHOICE=""2""","If so, have they had the Ultrasound test explained to them do they consent to Ultrasound?",
file_consent,crf_1_eligibility_consent_recruitment,,file,Upload Signed Consent Form,,,,,,,,,,,,,@HIDDEN,Upload Signed Consent Form,
personnel13,crf_13_abdomen_uss,,text,REDCap ID of Data Entry Personnel,,,,,,,,,,,,,@USERNAME @READONLY ,REDCap ID of Data Entry Personnel,
timestamp13,crf_13_abdomen_uss,,text,Date of Data Entry,,,,,,,,,,,,,@NOW @HIDDEN,Date of Data Entry,
desc_text_crf13,crf_13_abdomen_uss,,descriptive,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",,,,,,,,,,,,,,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",
radio_exam,crf_13_abdomen_uss,,radio,Was a radiological examination performed?,"0, No | 1, Yes  | -98, Refused | -100, Pending | -102,Absconded | -103, Equipment NA",,,,,,,,,,,,,Was a radiological examination performed?,
date_exam_uss,crf_13_abdomen_uss,,text,[13.1] Date of Examination,,,date_dmy,,,,[radio_exam]='1',,,[13.1],,,,Date of Examination,13.1
time_exam_uss,crf_13_abdomen_uss,,text,[13.1] Time of Examination,,,time,,,,[radio_exam]='1',,,[13.1],,,"@PLACEHOLDER=""00:00""",Time of Examination,13.1
pan_size_head,crf_13_abdomen_uss,"<div class=""blue"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Pancreatic Size</span></div>",text,Pancreatic Size in CM (Head),,,number,,,,[radio_exam]='1',,,,,,@HIDDEN,Pancreatic Size in CM (Head),
pan_size_body,crf_13_abdomen_uss,,text,Pancreatic Size  in CM (Body),,,number,,,,[radio_exam]='1',,,,,,@HIDDEN,Pancreatic Size  in CM (Body),
pan_size_tail,crf_13_abdomen_uss,,text,Pancreatic Size  in CM  (Tail),,,number,,,,[radio_exam]='1',,,,,,@HIDDEN,Pancreatic Size  in CM  (Tail),
pan_size_normal,crf_13_abdomen_uss,,radio,<p>Pancreatic Size</p> <p>**If abnormal specify</p>,"1, Normal | 2, Abnormal {pan_size_ab_why:icons}",,,,,,[radio_exam]='1',,,,,,@HIDDEN,<p>Pancreatic Size</p> <p>**If abnormal specify</p>,
pan_size_ab_why,crf_13_abdomen_uss,,notes,If abnormal specify,,,,,,,[pan_size_normal]='2',,,,,,@HIDDEN,If abnormal specify,
pan_size_qual,crf_13_abdomen_uss,,radio,[13.4] Qualitative indicator of pancreas size,"1, Normal | 2, Small | 3, Enlarged | 4, Can't see well enough to tell",,,,,,[radio_exam]='1',,,[13.4],,,,Qualitative indicator of pancreas size,13.4
pan_head_trans,crf_13_abdomen_uss,,text,"[13.5] <p>Pancreas head size measured in transverse dimension</p> <p><em><span style=""font-weight: normal;"">**Score -106 if can't be measured due to image quality</span></em></p>",,Measure the size to the nearest 0.01 cm,number_2dp,,,,[radio_exam]='1',,,[13.5],,,,"<p>Pancreas head size measured in transverse dimension</p> <p><em><span style=""font-weight: normal;"">**Score -106 if can't be measured due to image quality</span></em></p>",13.5
pan_head_ap,crf_13_abdomen_uss,,text,"[13.6] <p>Pancreas head size measured in anterior/posterior dimension</p> <p><em><span style=""font-weight: normal;"">**Score -106 if can't be measured due to image quality</span></em></p>",,Measure the size to the nearest 0.01 cm,number_2dp,,,,[radio_exam]='1',,,[13.6],,,,"<p>Pancreas head size measured in anterior/posterior dimension</p> <p><em><span style=""font-weight: normal;"">**Score -106 if can't be measured due to image quality</span></em></p>",13.6
pan_body_trans,crf_13_abdomen_uss,,text,"[13.7] <p>Pancreas body size measures in anterior/posterior dimension; maximum diameter</p> <p><em><span style=""font-weight: normal;"">**Score -106 if can't be measured due to image quality</span></em></p>",,Measure the size to the nearest 0.01 cm,number_2dp,,,,[radio_exam]='1',,,[13.7],,,,"<p>Pancreas body size measures in anterior/posterior dimension; maximum diameter</p> <p><em><span style=""font-weight: normal;"">**Score -106 if can't be measured due to image quality</span></em></p>",13.7
